file,offset,valid_instructions_count,arch
1.exe,306744,44,32
1.exe,118915,28481,32
1.exe,109809,37404,32
1.exe,55723,666,32
1.exe,94394,52413,32
1.exe,470920,1141,32
1.exe,346811,24,32
1.exe,186063,5613,32
1.exe,196824,1227,32
1.exe,347756,36,32
1.exe,561257,5701,32
1.exe,226418,761,32
1.exe,50918,4615,32
1.exe,207888,4172,32
1.exe,411215,71,32
1.exe,188030,4729,32
1.exe,438447,156,32
1.exe,35443,237,32
1.exe,452666,1563,32
1.exe,69424,901,32
1.exe,133134,14410,32
1.exe,503581,2863,32
1.exe,168386,14608,32
1.exe,246373,12233,32
1.exe,463218,1958,32
1.exe,60169,2275,32
1.exe,547176,16946,32
1.exe,365356,34,32
1.exe,290098,20,32
1.exe,1022,1351,32
1.exe,52211,3532,32
1.exe,268830,7138,32
1.exe,105202,41906,32
1.exe,455254,1341,32
1.exe,334845,4,32
1.exe,76086,1121,32
1.exe,526972,36900,32
1.exe,103290,43769,32
1.exe,407569,33,32
1.exe,395088,1,32
1.exe,567240,2710,32
1.exe,13182,5226,32
1.exe,270863,6122,32
1.exe,223856,1676,32
1.exe,429017,8,32
1.exe,291258,364,32
1.exe,338971,37,32
1.exe,83081,7486,32
1.exe,130912,16590,32
1.exe,271317,5895,32
1.exe,109780,37433,32
1.exe,382921,24,32
1.exe,399136,49,32
1.exe,277168,2969,32
1.exe,32877,432,32
1.exe,486249,1835,32
1.exe,68883,154,32
1.exe,445911,3158,32
1.exe,282886,114,32
1.exe,427507,14,32
1.exe,47607,1829,32
1.exe,187309,5036,32
1.exe,490407,2483,32
1.exe,59744,2628,32
1.exe,247343,11792,32
1.exe,65962,43,32
1.exe,407263,15,32
1.exe,506564,613,32
1.exe,266425,170,32
1.exe,321075,10,32
1.exe,254385,8101,32
1.exe,287915,10,32
1.exe,448501,597,32
1.exe,152001,1618,32
1.exe,8395,17,32
1.exe,465046,472,32
1.exe,167931,14883,32
1.exe,391228,82,32
1.exe,270376,6365,32
1.exe,186116,5586,32
1.exe,492378,660,32
1.exe,127731,19743,32
1.exe,163343,17365,32
1.exe,485818,334,32
1.exe,242224,14180,32
1.exe,88543,2126,32
1.exe,85840,4773,32
1.exe,438982,104,32
1.exe,381691,2,32
1.exe,514020,49516,32
1.exe,111711,35575,32
1.exe,268505,7301,32
1.exe,9163,32,32
1.exe,526966,36905,32
1.exe,122554,24874,32
1.exe,120787,26626,32
1.exe,368689,12,32
1.exe,473184,1505,32
1.exe,492704,345,32
1.exe,32082,1210,32
1.exe,568978,1841,32
1.exe,219241,284,32
1.exe,113146,34167,32
1.exe,463090,2085,32
1.exe,180651,8230,32
1.exe,517319,46309,32
1.exe,198361,697,32
1.exe,252371,9232,32
1.exe,129603,17893,32
1.exe,221796,215,32
1.exe,475633,2537,32
1.exe,81064,9470,32
1.exe,192669,2774,32
1.exe,543740,20342,32
1.exe,501621,4785,32
1.exe,229030,19478,32
1.exe,132969,14571,32
1.exe,274774,4166,32
1.exe,301450,16,32
1.exe,428578,19,32
1.exe,391620,16,32
1.exe,445693,3375,32
1.exe,344855,16,32
1.exe,107535,39628,32
1.exe,53775,2242,32
